id,loss,name,played,short_name,win,code
1,0,Arsenal,0,ARS,0,3
2,0,Aston Villa,0,AVL,0,7
3,0,Bournemouth,0,BOU,0,91
4,0,Brighton,0,BHA,0,36
5,0,Burnley,0,BUR,0,90
6,0,Chelsea,0,CHE,0,8
7,0,Crystal Palace,0,CRY,0,31
8,0,Everton,0,EVE,0,11
9,0,Leicester,0,LEI,0,13
10,0,Liverpool,0,LIV,0,14
11,0,Man City,0,MCI,0,43
12,0,Man Utd,0,MUN,0,1
13,0,Newcastle,0,NEW,0,4
14,0,Norwich,0,NOR,0,45
15,0,Sheffield Utd,0,SHU,0,49
16,0,Southampton,0,SOU,0,20
17,0,Spurs,0,TOT,0,6
18,0,Watford,0,WAT,0,57
19,0,West Ham,0,WHU,0,21
20,0,Wolves,0,WOL,0,39